start,end
0,201,2.1218
202,203,2.8544
203,103,4.3895
103,102,2.8374
102,101,2.8514
101,0,2.7195
0,202,5.4409
0,203,8.2373
0,103,12.5625
0,102,15.3508
0,101,18.17166
201,203,6.2025
201,103,10.535
201,102,13.3144
201,101,16.1238
201,0,18.2286
202,103,7.1899
202,101,12.7987
202,0,14.6176
203,102,7.1983
203,101,9.9983
203,0,11.6334
103,101,5.6693
103,0,7.7466
102,0,4.8274
